,sectionid,sectionName,date,webTitle,weburl
55,world,World news,2022-02-01 19:18:53+00:00,"Russian invasion of Ukraine would be a disaster, says Boris Johnson in Kyiv",https://www.theguardian.com/world/2022/feb/01/russian-invasion-of-ukraine-would-be-a-disaster-says-boris-johnson-in-kyiv
56,politics,Politics,2022-02-04 12:17:52+00:00,Ministers accused of failing to stem flow of Russian ‘dirty money’ into UK,https://www.theguardian.com/politics/2022/feb/04/ministers-accused-of-failing-to-stem-flow-of-russian-money-into-uk
57,politics,Politics,2022-01-23 18:22:52+00:00,No 10 casts Johnson as head of anti-Russian alliance over Ukraine,https://www.theguardian.com/politics/2022/jan/23/no-10-casts-boris-johnson-as-head-of-anti-russian-alliance-over-ukraine
58,world,World news,2022-02-20 09:30:06+00:00,Starmer: Russians hide cash in ‘soft touch’ UK,https://www.theguardian.com/world/2022/feb/20/starmer-russians-hide-cash-in-soft-touch-uk
59,tv-and-radio,Television & radio,2022-04-11 16:56:12+00:00,"Ministers are old enough, but not wise enough to go it alone | Brief letters ",https://www.theguardian.com/tv-and-radio/2022/apr/11/ministers-are-old-enough-but-not-wise-enough-to-go-it-alone
60,politics,Politics,2022-10-06 13:18:10+00:00,Rancour gives way to nervous optimism over Northern Ireland protocol,https://www.theguardian.com/politics/2022/oct/06/rancour-gives-way-optimism-northern-ireland-protocol-liz-truss-brexit-analysis
61,commentisfree,Opinion,2022-10-06 17:46:34+00:00,The Guardian view on Liz Truss and Europe: a first fragile step | Editorial,https://www.theguardian.com/commentisfree/2022/oct/06/the-guardian-view-on-liz-truss-and-europe-a-first-fragile-step
62,uk-news,UK news,2022-10-11 08:59:00+00:00,"No signs Russia is preparing to use nuclear weapon, says GCHQ boss",https://www.theguardian.com/uk-news/2022/oct/11/russia-use-nuclear-weapons-gchq-putin
63,world,World news,2022-10-27 17:07:55+00:00,Putin attempts to back up claim dirty bomb could be used against Russia troops,https://www.theguardian.com/world/2022/oct/27/vladimir-putin-says-dirty-bomb-claims-to-nato-were-made-on-his-orders
64,world,World news,2022-08-23 16:47:03+00:00,Britain must wake up before this war reaches our shores | Letters,https://www.theguardian.com/world/2022/aug/23/britain-must-wake-up-before-this-war-reaches-our-shores
65,world,World news,2022-03-02 17:26:00+00:00,How the west’s foreign policy of self-interest crumbled | Letters,https://www.theguardian.com/world/2022/mar/02/how-the-wests-foreign-policy-of-self-interest-crumbled
66,commentisfree,Opinion,2022-02-28 15:55:58+00:00,Sanctions don’t work – serious diplomacy is the only way to stop Putin | Simon Jenkins,https://www.theguardian.com/commentisfree/2022/feb/28/sanctions-dont-work-diplomacy-stop-putin-russia-ukraine
67,commentisfree,Opinion,2022-02-24 19:00:54+00:00,The Guardian view on Putin’s war in Ukraine: a bleak new beginning | Editorial,https://www.theguardian.com/commentisfree/2022/feb/24/the-guardian-view-on-putins-war-in-ukraine-a-bleak-new-beginning
